Algoritmo,Media_Passos,Media_Custo
A*,37.166666666666664,71.0
BFS,38.9,80.11666666666666
DFS,161.4,313.8333333333333
UCS,39.03333333333333,73.25
GBFS,55.333333333333336,109.01666666666667
